University name
"464","Anamarc College - Santa Teresa"
"465","Ancilla College"
"466","Ancora Psychiatric Hospital"
"467","Anderson Medical Career College"
"468","Anderson University"
"469","Anderson University"
"470","Andover College"
"471","Andover Newton Theological School"
"472","Andrew College"
"473","Andrew Terranova and Associates, Inc. Dale Carnegie Training"
"474","Andrews University"
"475","Andrews University/Dayton"
"476","Andrus Children's Center"
"477","Angeles College"
"478","Angeles Institute"
"479","Angelina College"
"480","Angelo State University"
"481","Angley College"
"482","Angley College - Orlando"
"483","AnMed Health Medical Center"
"484","Ann and Robert H. Lurie Children's Hospital of Chicago"
"485","Ann Arbor Institute of Massage Therapy"
"486","Ann Marie's World of Beauty School"
"487","Ann Martin Center"
"488","Ann Webb Skin Institute"
"489","Anna Maria College"
"490","Anne Arundel Community College"
"491","Anne Brezina Dietetic Internship at James A. Haley Veterans Hospital"
"492","Annenberg School of Nursing"
"493","Anoka Technical College"
"494","Anoka-Ramsey Community College"
"495","Anson College of Cosmetology"
"496","Anson College of Cosmetology"
"497","Antelope Valley College"
"498","Anthem College - Bryman School"
"499","Anthem College - Maryland Heights"
"500","Anthem College - Phoenix"
"501","Anthem Institute - Manhattan"
"502","Antillean Adventist University Nurse Anesthesia Program"
"503","Antilles College of Health"
"504","Antioch College"
"505","Antioch School of Church Planting and Leadership Development"
"506","Antioch University"
"507","Anton Aesthetics Academy, Inc."
"508","Antonelli College - Cincinnati"
"509","Antonelli College - Hattiesburg"
"510","Antonelli College - Jackson"
"511","Antonelli Institute"
"512","Antonelli Medical and Professional Institute"
"513","AOI College of Languages"
"514","AOMA Graduate School of Integrative Medicine"
"515","AOMA Graduate School of Integrative Medicine - Austin"
"516","Aparicio-Levy Technical Center"
"517","Apex Academy Hair Skin Nails School of Cosmetology"
"518","Apex Academy of Hair Design Inc"
"519","Apex School of Theology"
"520","Apex Technical School"
"521","Apollo Career Center"
"522","Apollos University"
"523","Appalachian Beauty School"
"524","Appalachian Bible College"
"525","Appalachian College of Pharmacy"
"526","Appalachian Regional Healthcare"
"527","Appalachian School of Law"
"528","Appalachian State University"
"529","Appalachian Technical College"
"530","Appelbaum Eye Care Associates PC Residency in Vision Therapy and Rehabilitative Optometry"
"531","Applewood Centers"
"532","Applied Technology Services-South County"
"533","Apprentice for the Electrical Industry IBEW Local 98"
"534","Approach International Student Center"
"535","APT College"
"536","Aquinas College"
"537","Aquinas College"
"538","Aquinas Institute of Theology"
"539","ARAMARK Corporation"
"540","ARAMARK Healthcare"
"541","ARAMARK Healthcare Support Services - Jamaica"
"542","Aran Eye Associates Residency in Ocular Disease"
"543","Arapahoe Community College"
"544","Arcadia University"
"545","ARCLabs"
"546","Argosy University"
"547","Arizona Academy of Beauty - North"
"548","Arizona Academy of Beauty Inc"
"549","Arizona Automotive Institute"
"550","Arizona Christian University"
"551","Arizona College"
"552","Arizona Culinary Institute"
"553","Arizona Department of Health Services"
"554","Arizona School of Acupuncture and Oriental Medicine"
"555","Arizona School of Integrative Studies / ASIS Massage Education"
"556","Arizona State Hospital"
"557","Arizona State University"
"558","Arizona Summit Law School"
"559","Arizona Training Group, LLC Dale Carnegie Training of Arizona"
"560","Arizona Western College"
"561","Arkansas Baptist College"
"562","Arkansas Beauty College"
"563","Arkansas Beauty School"
"564","Arkansas Beauty School - Little Rock"
"565","Arkansas Beauty School-Conway"
"566","Arkansas Career Training Institute"
"567","Arkansas College of Barbering and Hair Design"
"568","Arkansas College of Osteopathic Medicine"
"569","Arkansas Northeastern College"
"570","Arkansas State Hospital"
"571","Arkansas State University"
"572","Arkansas State University - Beebe"
"573","Arkansas State University - Newport"
"574","Arkansas State University Mountain Home"
"575","Arkansas Tech University"
"576","Arkansas Valley Technical Institute of Arkansas Tech University"
"577","Arkansas Welding Academy"
"578","Arlington Baptist College"
"579","Arlington Career Institute"
"580","Arlington Medical Institute"
"581","Armstrong County Memorial Hospital"
"582","Armstrong State University"
"583","Army Force Management School"
"584","Army Institute for Professional Development U.S. Training Ar"
"585","Army Logistics University"
"586","Army Quartermaster Center and School"
"587","Arnolds Beauty School"
"588","Arnot Ogden Medical Center"
"589","Arnot Ogden Medical Center School of Radiologic Technology"
"590","Arrojo Cosmetology School"
"591","Arrowhead Regional Medical Center"
"592","Art Academy of Cincinnati"
"593","Art and Science Institute of Cosmetology and Massage Therapy"
"594","Art Center College of Design"
"595","Art Institute of Ohio - Cincinnati"
"596","Art Instruction Schools"
"597","Arthur G. James Cancer Hospital and Richard J. Solove Research"
"598","Arthur's Beauty College, Inc - Fort Smith"
"599","Arthur's Beauty College, Inc. - Jacksonville"
"600","Arthur's Beauty College, Inc. - Pine Bluff"
"601","Artistic Nails and Beauty Academy"
"602","ASA College"
"603","Asbury Methodist Village"
"604","Asbury Theological Seminary"
"605","Asbury University"
"606","ASC English School"
"607","Ascension College"
"608","Ashdown College of Health Sciences"
"609","Asher College"
"610","Asheville Buncombe Technical Community College"
"611","Asheville VA Medical Center"
"612","Ashford University"
"613","Ashland Community and Technical College"
"614","Ashland County - West Holmes Career Center"
"615","Ashland School of Beauty Culture"
"616","Ashland Theological Seminary"
"617","Ashland University"
"618","Ashtabula County Technical and Career Campus"
"619","Ashworth College"
"620","ASI Career Institute"
"621","Asian American International Beauty College"
"622","Askins Vo-Tech"
"623","ASM Beauty World Academy"
"624","Asnuntuck Community College"
"625","Aspen Beauty Academy - Laurel"
"626","Aspen Health Services"
"627","Aspen University"
"628","ASPIRA, Inc. de Puerto Rico"
"629","Aspirus Wausau Hospital"
"630","Assabet Valley Regional Technical School"
"631","Assemblies of God Theological Seminary"
"632","Associated Barber College of San Diego, Inc."
"633","Associated Beth Rivkah Schools"
"634","Associated Builders & Contractors, Greater Michigan Chapter dba Greater Michigan Construction Academy"
"635","Associated Technical College"
"636","Associated Technical College"
"637","Associated Technical College"
"638","Association Free Lutheran Theological Seminary and Bible School"
"639","Assumption College"
"640","Assumption College for Sisters"
"641","Astar Education Institute"
"642","Aston International Academy"
"643","Astor Services for Children and Families"
"644","Astrodome Career Centers"
"645","Astute Artistry"
"646","At-Home Professions"
"647","ATA College"
"648","Atascadero State Hospital"
"649","Atelier Esthetique Institute of Esthetics, Inc."
"650","Atenas College"
"651","Athena Career Academy"
"652","Athenaeum of Ohio"
"653","Athens State University"
"654","Athens Technical College"
"655","ATI Career Training Center - Albuquerque"
"656","ATI Career Training Center - Dallas"
"657","ATI Career Training Center - Dallas"
"658","ATI Career Training Center - Fort Lauderdale"
"659","ATI Career Training Center - Garland"
"660","ATI Career Training Center - Miami"
"661","ATI Career Training Center - North Richland Hills"
"662","ATI Career Training Center - Oakland Park"
"663","ATI Career Training Center - Richardson"
"664","ATI Career Training Center - Waco"
"665","ATI College"
"666","ATI College - Santa Ana"
"667","ATI College of Health"
"668","ATI Technical Training Center"
"669","Atlanta Ballet Centre for Dance Education"
"670","Atlanta Beauty & Barber Academy"
"671","Atlanta College of Art"
"672","Atlanta English Institute"
"673","Atlanta Institute of Music"
"674","Atlanta Job Corps Center"
"675","Atlanta Metropolitan State College"
"676","Atlanta Montessori Teacher Education Program"
"677","Atlanta School of Massage"
"678","Atlanta Technical College"
"679","Atlanta VA Medical Center"
"680","Atlantic Acting School"
"681","Atlantic Cape Community College"
"682","Atlantic County Vocational Technical School"
"683","Atlantic Institute of Oriental Medicine"
"684","Atlantic Technical College"
"685","Atlantic Union College"
"686","Atlantic University"
"687","Atlantic University College"
"688","Atlantic University of Chinese Medicine"
"689","Atlantic Universty College"
"690","Atlantis University"
"691","ATP Flight Academy"
"692","Auburn Career Center"
"693","Auburn University Main Campus"
"694","Auburn University-Montgomery"
"695","Audio Recording Technology Institute"
"696","Augsburg College"
"697","Augusta School of Massage"
"698","Augusta State University"
"699","Augusta Technical College"
"700","Augustana College"
"701","Augustana University"
"702","Auguste Escoffier School of Culinary Arts"
"703","Auguste Escoffier School of Culinary Arts"
"704","Augustine Institute"
"705","Aultman College of Nursing and Health Sciences"
"706","Aurora Behavioral Health Services"
"707","Aurora Family Services"
"708","Aurora Health Care Southern Lakes CPE"
"709","Aurora Mental Health Center"
"710","Aurora Sinai Medical Center"
"711","Aurora St. Luke's Medical Center"
"712","Aurora University"
"713","Austin Business College"
"714","Austin College"
"715","Austin Community College"
"716","Austin Graduate School of Theology"
"717","Austin Kade Academy"
"718","Austin Language Learning School"
"719","Austin Peay State University"
"720","Austin Presbyterian Theological Seminary"
"721","Austin's Beauty College, Inc."
"722","Austin's School of Spa Technology"
"723","Automeca Technical College"
"724","Automeca Technical College"
"725","Automeca Technical College"
"726","Automeca Technical College"
"727","Automotive Dealership Institute"
"728","Automotive Training Center"
"729","Automotive Training Center - Warminster PA"
"730","Autry Technology Center"
"731","Avalon School of Cosmetology"
"732","Avalon School of Cosmetology"
"733","Avalon School of Cosmetology"
"734","Avalon School of Cosmetology"
"735","Avalon School of Cosmetology - Alameda"
"736","Avance Beauty College"
"737","Avant Gard The School"
"738","Ave Maria School of Law"
"739","Ave Maria University"
"740","Aveda Frederic's Institute"
"741","Aveda Fredric's Instutute"
"742","Aveda Institute"
"743","Aveda Institute - Boise"
"744","Aveda Institute - Corpus Christi"
"745","Aveda Institute - Covington"
"746","Aveda Institute Birmingham"
"747","Aveda Institute Chapel Hill"
"748","Aveda Institute Denver"
"749","Aveda Institute Des Moines"
"750","Aveda Institute Lafayette"
"751","Aveda Institute Las Vegas"
"752","Aveda Institute New York"
"753","Aveda Institute of Columbus"
"754","Aveda Institute Portland"
"755","Aveda Institute Provo"
"756","Aveda Institute Rhode Island"
"757","Aveda Institute South Florida"
"758","Aveda Institute Tallahassee"
"759","Aveda Institute Tucson"
"760","Aveda Institute Twin Falls"
"761","Aveda Institute-Baton Rouge"
"762","Aveda Institute-Houston"
"763","Avenue Five Institute"
"764","Avera Health ACPE System Center"
"765","Avera McKennan Hospital & University Health Center"
"766","Avera Sacred Heart Hospital"
"767","Averett University"
"768","Avery James School of Cosmetology"
"769","AVI Career Training"
"770","Aviation and Electronic Schools of America - Colfax"
"771","Aviation Institute of Maintenance"
"772","Aviation Institute of Maintenance - Atlanta"
"773","Aviation Institute of Maintenance - Chesapeake"
"774","Aviation Institute of Maintenance - Dallas"
"775","Aviation Institute of Maintenance - Houston"
"776","Aviation Institute of Maintenance - Indianapolis"
"777","Aviation Institute of Maintenance - Kansas City"
"778","Aviation Institute of Maintenance - Manassas"
"779","Aviation Institute of Maintenance - Orlando"
"780","Aviation Institute of Maintenance - Philadelphia"
"781","Aviator College of Aeronautical Science & Technology"
"782","Avila University"
"783","AVTEC - Alaska's Institute of Technology"
"784","Avtech Institute of Technology"
"785","Award Beauty School"
"786","Axis Business Academy - Ben Crenshaw Campus"
"787","Ayers Career College"
